filetype:	level
######..........################.......#.....##################.,,...,########....,,,...###################################################
######...,,,,,,,,,,,,###########.......#######################,,,....,########....,,,,,,,,,,###############################################
###.............##,,,,########################################,######,,,,,,,,,,,,,,,,...###,,##############################################
###.............####,,,,######################################,##################.......###,,##############################################
###...........#######,,,######################################,##################.......###,,##############################################
###...........#######,,,####################################,,,##################.......####,##############################################
########......#######,,,,###################################,,,#############################,,#############################################
#########.....#########,,###################################,,,#############################,,#############################################
#########.....#########,,#################################,,,################################,#############################################
#########.....#########,,#################################,,,################################,#############################################
########################,#################################,,,################################,,############################################
########################,#.....################...........,##################################,,############################################
########################,#.....################...........,##################################,,,###########################################
########################,,............#########...,,.,,...,###################################,,###########################################
########################,,,,,,,,,,,,,,,,,,,,,,,,,,.,,,....,####################################,,##########################################
#########################,,,,,.........#########,,..,,,,,.,####################################,,#####......###############################
##########################.............########..,,,,,,,,,,#####################################,#####......###############################
##########################.............########..,,,,....,,,,###################################,,,.........###############################
##########################.............########,,,,,,,,,.,,,,,##################################,,,.........#################.....#########
#############################..........#######,,,,.....,,.,.,,####################################,,........###############.......#########
#############################..........####,,,,,,,.....,,,,..,####################################.,..........#############.......#########
#############################.......#######,,,#.....#...,,,..,#####################################,..........############........#########
#############################.......######,,,##.....###......,#####################################,,,,,......############........#########
##########################################,,###########......,#######################################.....,,..############............#####
##########################################,,###########......,,######################################.....,,..############............#####
##########################################,###################,########################################....,#.###########.............#####
##########################################,###################,,###########################################,#############.............#####
##########################################,####################,,##########################################,,,###########.............#####
##########################################,####################,,,,,,#######################################,,,,,,,,,,,,,,,,,.........#####
##########################################,########################,,####################################################.........#########
##########################################,#########################,####################################################.......###########
##########################################,#########################,#..........###########################################################
###################......#################,#########################,,,.............#######################################################
################.........#################,###########################,.............#######################################################
################......,,,,,,,,,,,,,,,,,,,,,,...#######################,,,,,,,.......#######################################################
################.........################,,,,..#######################..............#######################################################
################............############.,,,,..#######################..............#######################################################
################............############..,,,...######################........,,....#######################################################
################..............##########..,,.##.#########################.,,,,,,...########################################################
################...............#########..,,....#########################,,,.......########################################################
######################.........#########.,,........#################,,,,,,#.....###########################################################
######################.........#######,,,,,........##############,,,,,,,#.......###########################################################
#########################......######,,##..........##############,,,,######.....###########################################################
#####################################,###..........#############,,#########....############################################################
###################################,,,####.........############,,,#########....############################################################
################################,,,,,####......###############,,,,#########....############################################################
################################,,############################,############################################################################
################################,############################,,############################################################################
################################,############################,,############################################################################
###########################,,,,,,###########################,,,############################################################################
###########################,################################,,#############################################################################
###########################,################################,##############################################################################
###########################,################################,##############################################################################
###########################,################################,##############################################################################
###########################,################################,##############################################################################
########################...,..###########################...,...###########################################################################
########################...,..#########################.....,...###########################################################################
########################...,.......####################.....,...###########################################################################
########################...,.......####################.....,...###########################################################################
########################...,.......####################.........###########################################################################
#########################..........######################......############################################################################
#######################............######################.......###########################################################################
#######################............####################......##############################################################################
########################...........####################....################################################################################
#######################.......#########################....################################################################################
#######################.......#########################....################################################################################
#######################.......#########################....################################################################################
#######################.......#############################################################################################################
###########################################################################################################################################
###########################################################################################################################################
###########################################################################################################################################
###########################################################################################################################################
